,Dialogue
0,
1,
2,let 's go
3,okay 're gon na need learn lie
4,'m kidding know sometimes become persona n't know quit
5,like fear wearing pastel
6,good stuff
7,endless babble 'm like boring
8,listen crap
9,guillermo say go lighter 're gon na look like extra 90210
10,
11,well
12,
13,ton
14,know
15,hi
16,know 've ever heard say 'd dip dating smoke
17,lesbian found picture jared leto one drawer 'm pretty sure 's harboring sex tendency
18,really really really wan na go ca n't unless go
19,eber 's deep conditioner every two day never ever use blowdryer without diffuser attachment
20,'re sweet
21,counted help cause thug obviously failing n't ever going date
22,
23,little find wench date plan progressing
24,forget
25,n't want know say though want know useful thing like good store much champagne cost stuff like chat never life point someone
26,c'esc tete
27,gosh could find
28,unsolved mystery used really popular started high school like got sick something
29,thing 'm mercy particularly hideous breed loser ca n't date
30,'s fault n't proper introduction
31,'re asking 's cute 's name
32,hacking gagging spitting part please
33,make quick korrine barrett incredibly horrendous public break quad
34,
35,think ' prom
36,n't home 'til two
37,home twenty minute
38,know 'd give private line go like
39,sometimes wonder guy 're supposed want go one actually want go know
40,n't think highlight dating dorsey going include door opening coat holding
41,combination n't know thought 'd different
42,oily dry
43,practically proposed found dermatologist mean dr bonchowski great 's exactly relevant party conversation
44,would mind getting drink
45,great
46,
47,
48,go
49,might wan na think
50,
51,change hair
52,know deal ' go n't go
53,hi
54,neat
55,
56,hopefully
57,expensive
58,perm
59,
60,'s
61,complete fruit loop
62,wanted
63,completely damage send therapy forever
64,wanted
65,set
66,let go
67,
68,looked beautiful last night know
69,guess 'll never know
70,experience good ca n't always trust people want
71,'re like keep locked away dark ca n't experience anything
72,guess thought protecting
73,'m stupid enough repeat mistake
74,'s
75,n't really thought could make decision would 've let go instead helping hold hostage
76,wanted let make mind
77,n't tell
78,swore 'd never anything everyone else n't since except bogey 's party stunning gastro intestinal display
79,
80,afterwards told n't want anymore n't ready got pissed broke
81,
82,said everyone
83,
84,back different story
85,hate
86,like total
87,
88,9th month
89,
90,never told went
91,wish luxury 'm got asked prom ca n't go '
92,care 'm firm believer something reason someone else '
93,like care
94,listen know hate sit home 'm high school
95,'re welcome
96,n't get act like 're good go totally apeshit get
97,really n't think need social advice right
98,need talk need tell
99,go
100,completely unbalanced
101,yeah 's freak friend 's guess since 'm allowed go ob dead
102,'s shakespeare maybe 've heard
103,like 'm supposed know even mean
104,least 'm clouted fen sucked hedge pig
105,ca n't forget one night 're completely wretched
106,bogey 's party 're busy listening bitch need prozac know
107,'s
108,'re ruining life ' wo n't ca n't
109,think 're freak think torture think suck
110,think
111,oh thought might date n't know 'm bothering ask going bogey 's party saturday night
112,mean gigglepuss playing club skunk 're going
113,oh mean 're becoming
114,least start wearing bra
115,potential smack crap n't get way
116,nowhere hi
117,'ve
118,date ' oppression like men know
119,fine see 'm house 'm 'm possession
120,'s hot whatever
121,
122,want discus prom 's tomorrow night
